nc,md,U,d,m,L,H,Nt,Dt,tf,ymax,time,y/d
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.0368,-5.0568194294525595e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.0372,-5.013797624152759e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.037599999999999995,-4.995586781393676e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.03799999999999999,-4.923529948728817e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.03839999999999999,-4.863520609595342e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.03879999999999999,-4.815573189801891e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.039199999999999985,-4.755804540419178e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.03959999999999998,-4.739526769044976e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.03999999999999998,-4.7846145631892475e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.04039999999999998,-4.9363856879675306e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.040799999999999975,-5.027713777460584e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.04119999999999997,-4.9657196754895156e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.04159999999999997,-4.90365563563238e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.04199999999999997,-4.84497285010636e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.042399999999999965,-4.853727132920726e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.04279999999999996,-4.9755972403305655e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.04319999999999996,-5.0844763547551874e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.04359999999999996,-5.221069878782878e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.043999999999999956,-5.436675129893386e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.04439999999999995,-5.622828185410132e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.04479999999999995,-5.860221359369468e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.04519999999999995,-6.393888075288847e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.045599999999999946,-6.963855846393589e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.045999999999999944,-7.527557407653943e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.04639999999999994,-8.255424451670563e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.04679999999999994,-8.925238962177232e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.047199999999999936,-9.65696490431562e-09
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.047599999999999934,-1.0624780141019819e-08
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.04799999999999993,-1.1633707114291353e-08
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.04839999999999993,-1.2597359422888697e-08
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.04879999999999993,-1.3697483412546496e-08
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.049199999999999924,-1.4928861870193597e-08
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.04959999999999992,-1.6115329409400254e-08
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.04999999999999992,-1.73132715534934e-08
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.05039999999999992,-1.8678047984803937e-08
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.050799999999999915,-2.006347621226902e-08
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.05119999999999991,-2.1548831369507217e-08
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.05159999999999991,-2.3200877942976205e-08
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.05199999999999991,-2.486540222976472e-08
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.052399999999999905,-2.6752527502127487e-08
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.0527999999999999,-2.8742724230909863e-08
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.0531999999999999,-3.0809883171256677e-08
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.0535999999999999,-3.3070473652982e-08
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.053999999999999895,-3.539966978999617e-08
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.05439999999999989,-3.780011573271113e-08
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.05479999999999989,-4.021811813224076e-08
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.05519999999999989,-4.273568355950558e-08
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.055599999999999886,-4.522903109574029e-08
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.05599999999999988,-4.781893562408706e-08
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.05639999999999988,-5.060731409385633e-08
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.05679999999999988,-5.337388274028954e-08
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.057199999999999876,-5.615582850693479e-08
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.057599999999999874,-5.902713413479817e-08
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.05799999999999987,-6.20385328984276e-08
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.05839999999999987,-6.492439578096873e-08
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.058799999999999866,-6.770305147092138e-08
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.059199999999999864,-7.059555564774174e-08
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.05959999999999986,-7.350046171869343e-08
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.05999999999999986,-7.649410569761494e-08
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.06039999999999986,-7.97436388779528e-08
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.060799999999999854,-8.3053246890428e-08
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.06119999999999985,-8.643507615902738e-08
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.06159999999999985,-8.995866061434025e-08
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.06199999999999985,-9.367181752137389e-08
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.062399999999999844,-9.759905590857767e-08
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.06279999999999984,-1.0169764551964235e-07
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.06319999999999984,-1.0604189070784761e-07
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.06359999999999984,-1.1054064065515258e-07
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.06399999999999983,-1.1515347408004803e-07
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.06439999999999983,-1.198121340887493e-07
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.06479999999999983,-1.2455992258726717e-07
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.06519999999999983,-1.2945313589656206e-07
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.06559999999999983,-1.344847918885588e-07
4,1,0.99,0.025,1.57,1,500,26408,0.0004,10.5632,1.79924e-05,0.06599999999999982,-1.39561654037768e-07
