list,n_ts,n_serie,ref,sim
1,6,1,5.649511944942802e-07,1.0606616774979604e-06
1,6,1,5.62380821870891e-07,1.0213091359281474e-06
1,6,1,5.595377664073809e-07,9.81113302170296e-07
1,6,1,5.564907734917906e-07,9.400849156545461e-07
1,6,1,5.531739955946689e-07,8.98235212406705e-07
1,6,1,5.497265883578241e-07,8.555759226911126e-07
1,6,1,5.462411800521229e-07,8.121192683864936e-07
1,6,1,5.423839639808835e-07,7.678779600943223e-07
1,6,1,5.383015265650526e-07,7.228651939793756e-07
1,6,1,5.336248297059528e-07,6.770946483422616e-07
1,6,1,5.283841085715173e-07,6.305804799238567e-07
1,6,1,5.228482400353423e-07,5.833373199417122e-07
1,6,1,5.168284088220814e-07,5.353802698586227e-07
1,6,1,5.103867394529987e-07,4.86724896883686e-07
1,6,1,5.036700717488545e-07,4.3738722920632027e-07
1,6,1,4.965189203105126e-07,3.8738375096383537e-07
1,6,1,4.887581393264376e-07,3.367313969432974e-07
1,6,1,4.802424424109231e-07,2.854475470185573e-07
1,6,1,4.711055086421699e-07,2.3355002032345577e-07
1,6,1,4.616092342477989e-07,1.810570691623531e-07
1,6,1,4.514446803462963e-07,1.2798737265927022e-07
1,6,1,4.407526848651697e-07,7.43600301470683e-08
1,6,1,4.2975389193816985e-07,2.0194554298230626e-08
1,6,1,4.181587356734046e-07,-3.448913600104751e-08
1,6,1,4.0576874020629577e-07,-8.967072303161755e-08
1,6,1,3.928103231008529e-07,-1.453294978750005e-07
1,6,1,3.7942357515748454e-07,-2.014443682977504e-07
1,6,1,3.651690790367636e-07,-2.5799386688429413e-07
1,6,1,3.499096210967855e-07,-3.149561594158443e-07
1,6,1,3.339452527438723e-07,-3.723090534928409e-07
1,6,1,3.172843375369953e-07,-4.300300073982387e-07
1,6,1,3.002280042479459e-07,-4.880961391988174e-07
1,6,1,2.826404535585223e-07,-5.464842360815516e-07
1,6,1,2.640666522926928e-07,-6.051707639219396e-07
1,6,1,2.447059538172185e-07,-6.641318770810517e-07
1,6,1,2.2423831276567373e-07,-7.233434284279159e-07
1,6,1,2.0287408193948003e-07,-7.827809795837311e-07
1,6,1,1.81086528033269e-07,-8.424198113842491e-07
1,6,1,1.583164020432809e-07,-9.022349345565375e-07
1,6,1,1.3459553859771265e-07,-9.622011006061984e-07
1,6,1,1.1016202043363556e-07,-1.0222928129109821e-06
1,6,1,8.482799528390991e-08,-1.0824843380165986e-06
1,6,1,5.862220829094135e-08,-1.1427497171304025e-06
1,6,1,3.1252760478462526e-08,-1.203062777808488e-06
1,6,1,2.679556223810722e-09,-1.2633971458316031e-06
1,6,1,-2.6682135460133503e-08,-1.3237262572651626e-06
1,6,1,-5.6795088807309744e-08,-1.3840233706985066e-06
1,6,1,-8.790758903212403e-08,-1.4442615796584306e-06
1,6,1,-1.1974704861902272e-07,-1.5044138251918797e-06
1,6,1,-1.5220947668022078e-07,-1.56445290861258e-06
1,6,1,-1.8557707294093506e-07,-1.6243515044062574e-06
1,6,1,-2.199566113649161e-07,-1.684082173288966e-06
1,6,1,-2.554340924516292e-07,-1.7436173754129418e-06
1,6,1,-2.9215386978043385e-07,-1.8029294837142631e-06
1,6,1,-3.297710950246076e-07,-1.8619907973964966e-06
1,6,1,-3.6805926597142377e-07,-1.9207735555443925e-06
1,6,1,-4.0735000144194453e-07,-1.979249950861568e-06
1,6,1,-4.476766992072493e-07,-2.0373921435260284e-06
1,6,1,-4.887847604305419e-07,-2.095172275157255e-06
1,6,1,-5.303167054453131e-07,-2.1525624828884812e-06
1,6,1,-5.726475428438716e-07,-2.2095349135376932e-06
1,6,1,-6.159404262955614e-07,-2.26606173787077e-06
1,6,1,-6.600526958745063e-07,-2.3221151649500988e-06
1,6,1,-7.049837658444063e-07,-2.377667456561896e-06
1,6,1,-7.504331398811237e-07,-2.432690941715379e-06
1,6,1,-7.966655959389812e-07,-2.4871580312068408e-06
1,6,1,-8.437809034394508e-07,-2.541041232241598e-06
1,6,1,-8.914653552945235e-07,-2.594313163106698e-06
1,6,1,-9.396680365076102e-07,-2.646946567887195e-06
1,6,1,-9.882859449830291e-07,-2.6989143312187235e-06
1,6,1,-1.0374870884998098e-06,-2.750189493069031e-06
1,6,1,-1.087243434225323e-06,-2.8007452635410598e-06
1,6,1,-1.1374642245337107e-06,-2.8505550376901037e-06
1,6,1,-1.188453043736687e-06,-2.899592410347502e-06
1,6,1,-1.2402399660586995e-06,-2.947831190943277e-06
1,6,1,-1.2927648522382607e-06,-2.995245418320066e-06
1,6,1,-1.3458203748982438e-06,-3.041809375530652e-06
1,6,1,-1.3992849303324391e-06,-3.087497604611341e-06
1,6,1,-1.4534561908097498e-06,-3.132284921323409e-06
1,6,1,-1.5083536682508049e-06,-3.176146429854779e-06
1,6,1,-1.563843832157231e-06,-3.219057537474086e-06
