list,n_ts,ref
1,1,1.0000396075323662e-07
1,1,1.0731223631536757e-07
1,1,1.1474904420151449e-07
1,1,1.222804057778167e-07
1,1,1.2994544322088124e-07
1,1,1.3779603136844676e-07
1,1,1.457115046691518e-07
1,1,1.53660172238999e-07
1,1,1.6170013346354006e-07
1,1,1.6990718594946024e-07
1,1,1.781339297225018e-07
1,1,1.863429778400477e-07
1,1,1.945676380277556e-07
1,1,2.0286375529954626e-07
1,1,2.1129606242614175e-07
1,1,2.1967357277759506e-07
1,1,2.279414056544752e-07
1,1,2.362329666891987e-07
1,1,2.445231323317903e-07
1,1,2.526310993483868e-07
1,1,2.605864094406444e-07
1,1,2.684644424668557e-07
1,1,2.762365941225017e-07
1,1,2.837722404703028e-07
1,1,2.909827062337067e-07
1,1,2.9802066116348777e-07
1,1,3.048806919178159e-07
1,1,3.1153608469142175e-07
1,1,3.180699795581597e-07
1,1,3.244247096498281e-07
1,1,3.305826627317025e-07
1,1,3.364909487180972e-07
1,1,3.421208741703867e-07
1,1,3.474860091737951e-07
1,1,3.526351794926619e-07
1,1,3.574604175328896e-07
1,1,3.620069102291073e-07
1,1,3.663647057388154e-07
1,1,3.704975454200247e-07
1,1,3.744264809472458e-07
1,1,3.7818390132663653e-07
1,1,3.817178939085201e-07
1,1,3.849519606651842e-07
1,1,3.880863124332009e-07
1,1,3.911048130961387e-07
1,1,3.9394913986389277e-07
1,1,3.965623852649375e-07
1,1,3.9894711475158797e-07
1,1,4.01237067040917e-07
1,1,4.033886889145507e-07
1,1,4.05291078463048e-07
1,1,4.06737507163523e-07
1,1,4.0787965536573653e-07
1,1,4.088778195704109e-07
1,1,4.0944284394330177e-07
1,1,4.098123473111882e-07
1,1,4.101997769614544e-07
1,1,4.103411031232673e-07
1,1,4.101951448003401e-07
1,1,4.0993867483074507e-07
1,1,4.0961933426307494e-07
1,1,4.092441382501755e-07
1,1,4.088393007657191e-07
1,1,4.0836884511736265e-07
1,1,4.07845049158261e-07
1,1,4.072970270292257e-07
1,1,4.06762293612077e-07
1,1,4.061514033010833e-07
1,1,4.0542346924491785e-07
1,1,4.04599570400418e-07
1,1,4.035856084282854e-07
1,1,4.023004953794953e-07
1,1,4.008372207430336e-07
1,1,3.993489594843693e-07
1,1,3.977430150251597e-07
1,1,3.958899456790734e-07
1,1,3.939028242472454e-07
1,1,3.917879380663182e-07
1,1,3.894194063596682e-07
1,1,3.8681519136625116e-07
1,1,3.840569868254968e-07
1,1,3.811545901838618e-07
1,1,3.782647954603941e-07
1,1,3.754327590872226e-07
1,1,3.725847702105122e-07
1,1,3.696816108360372e-07
1,1,3.668303948077767e-07
1,1,3.640025712991994e-07
1,1,3.610096430382244e-07
1,1,3.5791591352680025e-07
1,1,3.5475226963823694e-07
1,1,3.514844616508637e-07
1,1,3.480107047025464e-07
1,1,3.443072215717689e-07
1,1,3.40500167390036e-07
1,1,3.366638888813889e-07
1,1,3.328130211346957e-07
1,1,3.287898819066723e-07
1,1,3.245854744557945e-07
1,1,3.2038841241846226e-07
1,1,3.1620500286237856e-07
1,1,3.121853860691238e-07
1,1,3.082245856637619e-07
1,1,3.040651401689188e-07
1,1,2.9997833793818096e-07
1,1,2.960378702292697e-07
1,1,2.920259645028446e-07
1,1,2.878451220655183e-07
1,1,2.835161589478441e-07
1,1,2.791432843866588e-07
1,1,2.746905529364492e-07
1,1,2.701923844261656e-07
1,1,2.6569440581846404e-07
1,1,2.610623744470236e-07
1,1,2.5633557305102665e-07
1,1,2.514142198977978e-07
1,1,2.462954068552244e-07
1,1,2.411310930118972e-07
1,1,2.3591161013072274e-07
1,1,2.3053851021610875e-07
