list,n_ts,ref,sim
1,1,-3.570777085923405e-07,-2.774661223668614e-08
1,1,-3.613194155184913e-07,-2.8178171935502442e-08
1,1,-3.654902811515132e-07,-2.8601529235178667e-08
1,1,-3.696231810562472e-07,-2.901644830774044e-08
1,1,-3.737001091252713e-07,-2.942269606041998e-08
1,1,-3.777008212409948e-07,-2.982004227431598e-08
1,1,-3.81536579819759e-07,-3.02082597425155e-08
1,1,-3.851856510788321e-07,-3.058712440760223e-08
1,1,-3.88696484622101e-07,-3.095641549847514e-08
1,1,-3.921994679788299e-07,-3.131591566640164e-08
1,1,-3.9565141027610644e-07,-3.1665411120228996e-08
1,1,-3.989936749151794e-07,-3.20046917606778e-08
1,1,-4.022508254539927e-07,-3.2333551313641295e-08
1,1,-4.054483927574859e-07,-3.265178746241432e-08
1,1,-4.0846737638036323e-07,-3.295920197877565e-08
1,1,-4.1124869225584747e-07,-3.325560085284778e-08
1,1,-4.136824679672396e-07,-3.3540794421658086e-08
1,1,-4.158385479044102e-07,-3.381459749632586e-08
1,1,-4.177118557048151e-07,-3.407682948779949e-08
1,1,-4.193143938068857e-07,-3.432731453106878e-08
1,1,-4.207225136027676e-07,-3.456588160777748e-08
1,1,-4.218529557013331e-07,-3.479236466716145e-08
1,1,-4.227911332218893e-07,-3.500660274523855e-08
1,1,-4.234989160057319e-07,-3.52084400821764e-08
1,1,-4.23973780906422e-07,-3.539772623776515e-08
1,1,-4.241746194857018e-07,-3.557431620492248e-08
1,1,-4.240508521246886e-07,-3.573807052115899e-08
1,1,-4.2358973974663773e-07,-3.5888855377932576e-08
1,1,-4.22930955509091e-07,-3.6026542727821175e-08
1,1,-4.221000735114123e-07,-3.6151010389443925e-08
1,1,-4.21131600565699e-07,-3.6262142150061564e-08
1,1,-4.2004821569972713e-07,-3.6359827865787716e-08
1,1,-4.1874690086326717e-07,-3.644396355934357e-08
1,1,-4.172635606061804e-07,-3.65144515152893e-08
1,1,-4.156946921386194e-07,-3.657120037266649e-08
1,1,-4.140405048774983e-07,-3.661412521498698e-08
1,1,-4.122183091291869e-07,-3.66431476575042e-08
1,1,-4.1023997256600965e-07,-3.665819593170454e-08
1,1,-4.081577440281273e-07,-3.665920496695699e-08
1,1,-4.060277977398843e-07,-3.6646116469260686e-08
1,1,-4.0374957781377626e-07,-3.6618878997031033e-08
1,1,-4.013423643329544e-07,-3.657744803386623e-08
1,1,-3.989142610302776e-07,-3.65217860582374e-08
1,1,-3.963738969389762e-07,-3.645186261004659e-08
1,1,-3.936902347979103e-07,-3.636765435399843e-08
1,1,-3.908872972108867e-07,-3.626914513973231e-08
1,1,-3.879359729238949e-07,-3.615632605866353e-08
1,1,-3.848433461924624e-07,-3.602919549748312e-08
1,1,-3.816493627181408e-07,-3.588775918826747e-08
1,1,-3.7838329004644573e-07,-3.5732030255150406e-08
1,1,-3.750371951603238e-07,-3.556202925751181e-08
1,1,-3.7155603204521603e-07,-3.5377784229638306e-08
1,1,-3.679572360700153e-07,-3.517933071681319e-08
1,1,-3.6431852905554745e-07,-3.4966711807794274e-08
1,1,-3.60577470575341e-07,-3.473997816363983e-08
1,1,-3.566898703309039e-07,-3.4499188042844565e-08
1,1,-3.5285988906134654e-07,-3.4244407322749086e-08
1,1,-3.490359939590814e-07,-3.3975709517187984e-08
1,1,-3.45047044968812e-07,-3.369317579034334e-08
1,1,-3.411409765766988e-07,-3.339689496677217e-08
1,1,-3.3719900734348655e-07,-3.308696353757805e-08
1,1,-3.33071406405692e-07,-3.2763485662698785e-08
1,1,-3.287827228263706e-07,-3.24265731692839e-08
1,1,-3.2433965262670815e-07,-3.207634554613743e-08
1,1,-3.198978244139366e-07,-3.171292993420322e-08
1,1,-3.153837292167207e-07,-3.133646111307177e-08
1,1,-3.109009337538472e-07,-3.094708148348968e-08
1,1,-3.0628257984214054e-07,-3.0544941045854166e-08
1,1,-3.014877085541755e-07,-3.013019737467749e-08
1,1,-2.9675300436620066e-07,-2.9703015589007517e-08
1,1,-2.92010774186427e-07,-2.9263568318792848e-08
1,1,-2.8717504549882525e-07,-2.8812035667182797e-08
1,1,-2.822933463646369e-07,-2.8348605168754196e-08
1,1,-2.773196776849151e-07,-2.787347174365919e-08
1,1,-2.722564975557892e-07,-2.738683764768997e-08
1,1,-2.673045099145863e-07,-2.6888912418258386e-08
1,1,-2.622084705915405e-07,-2.637991281629035e-08
1,1,-2.569435587246945e-07,-2.5860062764036806e-08
1,1,-2.517035482237712e-07,-2.5329593278805218e-08
1,1,-2.464095402601736e-07,-2.4788742402617307e-08
1,1,-2.411437097403332e-07,-2.4237755127800963e-08
1,1,-2.359321270318776e-07,-2.3676883318526045e-08
1,1,-2.3078657152328546e-07,-2.3106385628296058e-08
1,1,-2.2570955789113362e-07,-2.2526527413409506e-08
1,1,-2.2072169936245625e-07,-2.193758064240687e-08
1,1,-2.1592169525136187e-07,-2.1339823801521226e-08
1,1,-2.1133766832399145e-07,-2.073354179615243e-08
1,1,-2.0691701537002505e-07,-2.0119025848387066e-08
1,1,-2.0258347289163373e-07,-1.949657339058825e-08
1,1,-1.9836609055501739e-07,-1.8866487955081533e-08
1,1,-1.943394308954536e-07,-1.8229079059965267e-08
1,1,-1.904551801692359e-07,-1.7584662091075712e-08
1,1,-1.86566771812388e-07,-1.6933558180139575e-08
1,1,-1.826982200915393e-07,-1.627609407914842e-08
1,1,-1.7887324710253242e-07,-1.561260203099174e-08
1,1,-1.751359377786183e-07,-1.4943419636387485e-08
1,1,-1.714558299845424e-07,-1.4268889717150983e-08
1,1,-1.6778971677074405e-07,-1.3589360175845293e-08
1,1,-1.6408688157083085e-07,-1.2905183851858167e-08
1,1,-1.6039374065095364e-07,-1.22167183739529e-08
1,1,-1.5665246122125646e-07,-1.1524326009342475e-08
1,1,-1.5288123247441918e-07,-1.0828373509338559e-08
1,1,-1.490468242072876e-07,-1.0129231951628968e-08
1,1,-1.451270850498592e-07,-9.427276579239379e-09
1,1,-1.4119996649966985e-07,-8.722886636237218e-09
1,1,-1.3716985492645857e-07,-8.016445200237689e-09
1,1,-1.3301764960631196e-07,-7.308339011774066e-09
1,1,-1.2867528146632482e-07,-6.598958300596482e-09
1,1,-1.2423510632619878e-07,-5.888696608965518e-09
1,1,-1.1983113153510638e-07,-5.17795061200901e-09
1,1,-1.154981403417115e-07,-4.46711993521255e-09
1,1,-1.1117525647891725e-07,-3.756606969116233e-09
1,1,-1.067688328325103e-07,-3.046816681292289e-09
1,1,-1.0239025586005619e-07,-2.3381564256802256e-09
1,1,-9.81515343904241e-08,-1.6310357493581904e-09
1,1,-9.391901450502343e-08,-9.258661968312337e-10
1,1,-8.971344648523278e-08,-2.2306111191917866e-10
1,1,-8.567132589675444e-08,4.769645626712489e-10
1,1,-8.164493054829447e-08,1.1737944880034078e-09
1,1,-7.767170803023212e-08,1.8670111337083036e-09
1,1,-7.394958560744248e-08,2.5561959848322826e-09
1,1,-7.044455868774814e-08,3.240929750642532e-09
1,1,-6.705955692375302e-08,3.9207925752962296e-09
1,1,-6.380162620006097e-08,4.595364250277354e-09
1,1,-6.066489574333979e-08,5.264224428503412e-09
1,1,-5.758197312861866e-08,5.926952840002565e-09
1,1,-5.463211187574125e-08,6.583129509059955e-09
1,1,-5.1934091762469836e-08,7.232334972730361e-09
1,1,-4.93588278985136e-08,7.874150500612674e-09
1,1,-4.679511962437007e-08,8.50815831578013e-09
1,1,-4.433265275491133e-08,9.133941816758667e-09
1,1,-4.200662085603178e-08,9.75108580044434e-09
1,1,-3.9812414220981644e-08,1.0359176685849233e-08
1,1,-3.7707017203640495e-08,1.0957802738563979e-08
1,1,-3.5654187448402546e-08,1.1546554295823639e-08
1,1,-3.3643814583276026e-08,1.2125023992062438e-08
1,1,-3.1680641780220384e-08,1.2692806984841662e-08
1,1,-2.994029556756273e-08,1.3249501181033805e-08
1,1,-2.8419579537461897e-08,1.3794707463145069e-08
1,1,-2.689614703488001e-08,1.4328029915657233e-08
1,1,-2.5431249248840785e-08,1.4849076051268954e-08
1,1,-2.4138803368129256e-08,1.5357457036915724e-08
1,1,-2.2959546549459327e-08,1.5852787919446857e-08
1,1,-2.176818586980732e-08,1.633468785083715e-08
1,1,-2.0651843268033072e-08,1.6802780312810198e-08
1,1,-1.9689028314423293e-08,1.7256693340749763e-08
1,1,-1.9015444217558253e-08,1.7696059746775068e-08
1,1,-1.8543013102546173e-08,1.812051734185546e-08
1,1,-1.8160434709292795e-08,1.852970915683952e-08
1,1,-1.7926428358948087e-08,1.8923283662273463e-08
1,1,-1.7780026260844676e-08,1.930089498688342e-08
1,1,-1.7744187070903113e-08,1.9662203134596122e-08
1,1,-1.7916159436949285e-08,2.0006874199972496e-08
1,1,-1.8250713284357183e-08,2.0334580581928673e-08
1,1,-1.874725191462115e-08,2.0645001195619143e-08
1,1,-1.9392785398090065e-08,2.0937821682356935e-08
1,1,-2.0029927470248454e-08,2.121273461744605e-08
1,1,-2.0675219955995357e-08,2.1469439715801798e-08
1,1,-2.141187099041218e-08,2.1707644035235125e-08
1,1,-2.215933910613132e-08,2.192706217727759e-08
1,1,-2.28656796209338e-08,2.212741648542433e-08
1,1,-2.3649414746797532e-08,2.23084372406731e-08
1,1,-2.4486520710268244e-08,2.246986285423823e-08
1,1,-2.5320691474675013e-08,2.261144005731929e-08
1,1,-2.63481440842079e-08,2.2732924087805227e-08
1,1,-2.7520062394029927e-08,2.283407887379587e-08
1,1,-2.8814163564155956e-08,2.291467721382367e-08
1,1,-3.02955325820791e-08,2.297450095365999e-08
1,1,-3.206518443393606e-08,2.301334115959134e-08
1,1,-3.423132130843388e-08,2.303099828805251e-08
1,1,-3.668680725303141e-08,2.3027282351504977e-08
1,1,-3.936771567450814e-08,2.3002013080450224e-08
1,1,-4.230109563932985e-08,2.295502008146972e-08
1,1,-4.5362548054878334e-08,2.2886142991184385e-08
1,1,-4.856667658757695e-08,2.279523162602857e-08
1,1,-5.2120158935792375e-08,2.2682146127735054e-08
1,1,-5.5893632509079255e-08,2.254675710442962e-08
1,1,-5.982921972661963e-08,2.238894576723551e-08
1,1,-6.399596174630419e-08,2.2208604062290274e-08
1,1,-6.820773845284226e-08,2.2005634798079192e-08
1,1,-7.248552109609573e-08,2.177995176799196e-08
1,1,-7.691571271658185e-08,2.1531479868011078e-08
1,1,-8.131434040639367e-08,2.1260155209442806e-08
1,1,-8.572953630718932e-08,2.0965925226603703e-08
1,1,-9.029666868890057e-08,2.0648748779377925e-08
1,1,-9.490181164920135e-08,2.0308596250563007e-08
1,1,-9.944951386385873e-08,1.9945449637923937e-08
1,1,-1.0407382837899045e-07,1.9559302640877913e-08
1,1,-1.088124805024729e-07,1.915016074173448e-08
1,1,-1.1366500956922117e-07,1.8718041281418252e-08
1,1,-1.186103895341648e-07,1.8262973529603814e-08
1,1,-1.2354070816239666e-07,1.7784998749195096e-08
1,1,-1.284430345504991e-07,1.7284170255083783e-08
1,1,-1.3328718417894884e-07,1.6760553467124082e-08
1,1,-1.379902995650718e-07,1.6214225957263662e-08
1,1,-1.42619348549723e-07,1.5645277490773167e-08
1,1,-1.4715891026648336e-07,1.5053810061519347e-08
1,1,-1.5158593298424798e-07,1.4439937921229457e-08
