list,n_ts,ref,sim
1,6,-1.563843832157231e-06,-3.2186114279511786e-06
1,6,-1.6198658342816146e-06,-3.260556304572186e-06
1,6,-1.6762852426704028e-06,-3.3015028972941545e-06
1,6,-1.7329098711942004e-06,-3.3414276093194386e-06
1,6,-1.7897874681012294e-06,-3.380307204700214e-06
1,6,-1.8469016919555488e-06,-3.418118822633502e-06
1,6,-1.90441109364864e-06,-3.454839991661051e-06
1,6,-1.962439241614188e-06,-3.4904486437660943e-06
1,6,-2.0208902456664024e-06,-3.524923128359009e-06
1,6,-2.0794004200005427e-06,-3.5582422261439077e-06
1,6,-2.1377295107462792e-06,-3.590385162858208e-06
1,6,-2.1961652987114365e-06,-3.621331622877231e-06
1,6,-2.2546417055520147e-06,-3.651061762675906e-06
1,6,-2.313090249493193e-06,-3.6795562241396807e-06
1,6,-2.3718493156074685e-06,-3.7067961477167634e-06
1,6,-2.430678414952521e-06,-3.7327631854038605e-06
1,6,-2.489377462211856e-06,-3.7574395135576034e-06
1,6,-2.5483003121186194e-06,-3.7808078455239088e-06
1,6,-2.6073807902786736e-06,-3.8028514440775604e-06
1,6,-2.6669620086684927e-06,-3.8235541336643505e-06
1,6,-2.7269320270392544e-06,-3.842900312438176e-06
1,6,-2.786977775890173e-06,-3.860874964085543e-06
1,6,-2.847115761459054e-06,-3.877463669430016e-06
1,6,-2.907355371568164e-06,-3.892652617809176e-06
1,6,-2.967570782050536e-06,-3.90642861821678e-06
1,6,-3.0278238607978138e-06,-3.918779110202846e-06
1,6,-3.087860074349152e-06,-3.929692174524502e-06
1,6,-3.147500991855027e-06,-3.9391565435405094e-06
1,6,-3.2068355615732114e-06,-3.947161611342465e-06
1,6,-3.2655380663464654e-06,-3.953697443615776e-06
1,6,-3.323642454379852e-06,-3.958754787223627e-06
1,6,-3.3816168061104587e-06,-3.962325079507224e-06
1,6,-3.4393281699128917e-06,-3.964400457295735e-06
1,6,-3.4963332352151284e-06,-3.964973765619455e-06
1,6,-3.552544706334571e-06,-3.964038566119832e-06
1,6,-3.6082007213727017e-06,-3.961589145150106e-06
1,6,-3.663573070931479e-06,-3.957620521560454e-06
1,6,-3.718361137198338e-06,-3.952128454161644e-06
1,6,-3.772451467875081e-06,-3.945109448861336e-06
1,6,-3.825622489536447e-06,-3.936560765467301e-06
1,6,-3.87797679853965e-06,-3.926480424151977e-06
1,6,-3.929702079340045e-06,-3.914867211572898e-06
1,6,-3.980527089821218e-06,-3.901720686643697e-06
1,6,-4.030610862886487e-06,-3.887041185950528e-06
1,6,-4.079974211524077e-06,-3.870829828808884e-06
1,6,-4.128255831392858e-06,-3.853088521955964e-06
1,6,-4.1760055448403805e-06,-3.83381996387388e-06
1,6,-4.223265403468109e-06,-3.8130276487391706e-06
1,6,-4.269730780369312e-06,-3.790715869994224e-06
1,6,-4.315487910418167e-06,-3.766889723536398e-06
1,6,-4.360118235762847e-06,-3.7415551105207947e-06
1,6,-4.404035799370384e-06,-3.7147187397727817e-06
1,6,-4.4476286336815765e-06,-3.6863881298065698e-06
1,6,-4.490239993320852e-06,-3.656571610446293e-06
1,6,-4.531867010972364e-06,-3.6252783240462327e-06
1,6,-4.572894955303823e-06,-3.592518226306989e-06
1,6,-4.61322872196981e-06,-3.558302086684611e-06
1,6,-4.6525025224936326e-06,-3.522641488389837e-06
1,6,-4.690871406243341e-06,-3.4855488279748177e-06
1,6,-4.728520979083568e-06,-3.4470373145048615e-06
1,6,-4.765038440291735e-06,-3.4071209683129298e-06
1,6,-4.800492073411899e-06,-3.3658146193348027e-06
1,6,-4.834752916016223e-06,-3.323133905023031e-06
1,6,-4.867925399352399e-06,-3.2790952678379603e-06
1,6,-4.899848749422942e-06,-3.2337159523143436e-06
1,6,-4.930031600495091e-06,-3.1870140017022157e-06
1,6,-4.959207489730025e-06,-3.1390082541809292e-06
1,6,-4.987176629621607e-06,-3.089718338645428e-06
1,6,-5.013309547839801e-06,-3.039164670064056e-06
1,6,-5.037884404905628e-06,-2.9873684444073693e-06
1,6,-5.060884589437865e-06,-2.9343516331476573e-06
1,6,-5.082078336581727e-06,-2.8801369773290528e-06
1,6,-5.101677078882519e-06,-2.824747981208331e-06
1,6,-5.119780084627572e-06,-2.7682089054666987e-06
1,6,-5.135896867969228e-06,-2.7105447599930754e-06
1,6,-5.150042723920526e-06,-2.651781296239593e-06
1,6,-5.162912852123906e-06,-2.5919449991502297e-06
1,6,-5.174327735040814e-06,-2.5310630786637087e-06
1,6,-5.183564898533037e-06,-2.4691634607920224e-06
1,6,-5.190736867570851e-06,-2.4062747782761217e-06
1,6,-5.195902597375328e-06,-2.3424263608205464e-06
1,6,-5.19869863802707e-06,-2.27764822490898e-06
1,6,-5.199684102598492e-06,-2.211971063202923e-06
1,6,-5.198971362458874e-06,-2.1454262335259007e-06
1,6,-5.196011822212235e-06,-2.078045747435826e-06
1,6,-5.190663658628486e-06,-2.009862258388367e-06
1,6,-5.182721712367721e-06,-1.9409090494943797e-06
1,6,-5.1723247267404725e-06,-1.8712200208746828e-06
1,6,-5.159454970031131e-06,-1.8008296766156734e-06
1,6,-5.14417056629439e-06,-1.7297731113294991e-06
1,6,-5.126468018993968e-06,-1.6580859963227243e-06
1,6,-5.106287707452884e-06,-1.5858045653776417e-06
1,6,-5.083700276743725e-06,-1.5129656001506106e-06
1,6,-5.058446190929477e-06,-1.4396064151920146e-06
1,6,-5.030663217536683e-06,-1.365764842592653e-06
1,6,-5.000060098653054e-06,-1.2914792162616095e-06
1,6,-4.966521427909897e-06,-1.2167883558408548e-06
1,6,-4.930886193921622e-06,-1.1417315502620573e-06
1,6,-4.8928680802463625e-06,-1.0663485409513118e-06
1,6,-4.852113253465126e-06,-9.906795046876979e-07
1,6,-4.808677291642564e-06,-9.14765036121817e-07
1,6,-4.762283765255073e-06,-8.386461299606626e-07
1,6,-4.713021626240802e-06,-7.623641628254097e-07
1,6,-4.660979748337293e-06,-6.859608747889206e-07
1,6,-4.605897131450587e-06,-6.094783505999844e-07
1,6,-4.547845110135039e-06,-5.329590006015266e-07
1,6,-4.4871899692051365e-06,-4.564455413502376e-07
1,6,-4.423712155569718e-06,-3.7998097594528854e-07
1,6,-4.357259912176186e-06,-3.0360857407401254e-07
1,6,-4.288009548037444e-06,-2.2737185178264362e-07
1,6,-4.2158220241940855e-06,-1.5131455098041624e-07
1,6,-4.140606972694465e-06,-7.548061868553704e-08
1,6,-4.062386333667515e-06,8.581397825389667e-11
1,6,-3.981139129934373e-06,7.534045302560779e-08
1,6,-3.896849263576035e-06,1.5023886308485394e-07
1,6,-3.809374205876369e-06,2.2473648909532218e-07
1,6,-3.718772150458877e-06,2.9878867821717947e-07
1,6,-3.624955298520607e-06,3.723507019440636e-07
1,6,-3.5279475815530005e-06,4.453777784086059e-07
1,6,-3.4277069614933225e-06,5.178250948707488e-07
1,6,-3.324181840085639e-06,5.896478303785771e-07
1,6,-3.217698886374708e-06,6.608011785912041e-07
1,6,-3.108091804636969e-06,7.312403707530749e-07
1,6,-2.995179906824984e-06,8.009206988088788e-07
1,6,-2.8793036594825512e-06,8.697975386480953e-07
1,6,-2.760256344722774e-06,9.378263734680301e-07
1,6,-2.637855966830176e-06,1.0049628172440484e-06
1,6,-2.51256945585929e-06,1.0711626382955489e-06
1,6,-2.384298062240674e-06,1.136381782936082e-06
1,6,-2.252847752339241e-06,1.200576399195872e-06
1,6,-2.118480706582705e-06,1.263702860604861e-06
1,6,-1.981359388305708e-06,1.3257177900242694e-06
1,6,-1.841286471202762e-06,1.3865780835145382e-06
1,6,-1.6982134434390691e-06,1.446240934227403e-06
1,6,-1.5522927633339328e-06,1.5046638563097334e-06
1,6,-1.4036161166412677e-06,1.5618047088066777e-06
1,6,-1.2522975128881898e-06,1.6176217195515414e-06
1,6,-1.0982252275682607e-06,1.6720735090297467e-06
1,6,-9.417122571058554e-07,1.7251191142041384e-06
1,6,-7.829827386826638e-07,1.7767180122888145e-06
1,6,-6.218533887463796e-07,1.8268301444586092e-06
1,6,-4.583161878908735e-07,1.8754159394812813e-06
1,6,-2.924366707607526e-07,1.9224363372594165e-06
1,6,-1.2419247439462109e-07,1.9678528122690102e-06
1,6,4.6525292610426246e-08,2.011627396881651e-06
1,6,2.194204697006889e-07,2.0537227045572123e-06
1,6,3.946024621567229e-07,2.0941019528939343e-06
1,6,5.723248601590031e-07,2.1327289865227644e-06
1,6,7.523406450279854e-07,2.1695682998328285e-06
1,6,9.346255086205552e-07,2.204585059514914e-06
1,6,1.1190092867455222e-06,2.237745126909858e-06
1,6,1.3049880294366005e-06,2.269015080148756e-06
1,6,1.4925821391151478e-06,2.2983622360719513e-06
1,6,1.681625845860705e-06,2.3257546719137934e-06
1,6,1.8720169784235288e-06,2.35116124674022e-06
1,6,2.0638257461767216e-06,2.3745516226262637e-06
1,6,2.256722555870801e-06,2.3958962855606644e-06
1,6,2.4505823560763603e-06,2.4151665660648372e-06
1,6,2.6457041059943022e-06,2.43233465951354e-06
1,6,2.8419570556248285e-06,2.447373646144673e-06
1,6,3.038956597850412e-06,2.4602575107457513e-06
1,6,3.236763970470399e-06,2.4709611620046977e-06
1,6,3.4356819134884622e-06,2.4794604515127327e-06
1,6,3.635800158128137e-06,2.4857321924072463e-06
1,6,3.836884009208787e-06,2.4897541776427057e-06
1,6,4.038925586572442e-06,2.4915051978777585e-06
1,6,4.241828655353125e-06,2.4909650589668738e-06
1,6,4.445472196803941e-06,2.4881145990450034e-06
1,6,4.6499373733068064e-06,2.482935705193922e-06
1,6,4.855011150243236e-06,2.4754113296790743e-06
1,6,5.06059132662479e-06,2.4655255057459332e-06
1,6,5.266510872664957e-06,2.4532633629650744e-06
1,6,5.472634388123435e-06,2.438611142115344e-06
1,6,5.678871817869742e-06,2.4215562095947206e-06
1,6,5.88542974321546e-06,2.4020870713486532e-06
1,6,6.0920887164492525e-06,2.3801933863058924e-06
1,6,6.298070576818586e-06,2.3558659793120263e-06
1,6,6.503676278176262e-06,2.3290968535511717e-06
1,6,6.708841097408693e-06,2.299879202446488e-06
1,6,6.913401862608628e-06,2.2682074210304172e-06
1,6,7.117127029401713e-06,2.2340771167757906e-06
1,6,7.319695729006508e-06,2.1974851198791775e-06
1,6,7.521176419246005e-06,2.1584294929881014e-06
1,6,7.72142068897608e-06,2.1169095403639954e-06
1,6,7.920048426493623e-06,2.0729258164730193e-06
1,6,8.11710160855503e-06,2.0264801339971164e-06
1,6,8.312976773037234e-06,1.9775755712579456e-06
1,6,8.507720510431718e-06,1.9262164790465877e-06
1,6,8.700858614199204e-06,1.8724084868521835e-06
1,6,8.892273189016018e-06,1.8161585084829292e-06
1,6,9.082463183022096e-06,1.757474747073127e-06
1,6,9.271257660565886e-06,1.69636669947025e-06
1,6,9.458275998425173e-06,1.6328451599962597e-06
1,6,9.643723118071651e-06,1.5669222235776826e-06
1,6,9.827343061099406e-06,1.4986112882392358e-06
1,6,1.000859881423229e-05,1.4279270569560512e-06
1,6,1.018761648071447e-05,1.3548855388598477e-06
1,6,1.0364356596340504e-05,1.2795040497946598e-06
1,6,1.0538629727680662e-05,1.2018012122180195e-06
1,6,1.071043603358078e-05,1.1217969544437726e-06
1,6,1.08797756834821e-05,1.0395125092229799e-06
1,6,1.1046659278315457e-05,9.549704116596484e-07
1,6,1.1210658463674635e-05,8.681944964583125e-07
1,6,1.1371642929997235e-05,7.792098945007719e-07
1,6,1.1529915837681113e-05,6.880430287495734e-07
1,6,1.1684919654633471e-05,5.947216094761162e-07
1,6,1.1836481284144657e-05,4.992746288115348e-07
1,6,1.1984657135522684e-05,4.0173235461880876e-07
1,6,1.212949571282157e-05,3.021263236848307e-07
1,6,1.2271138342185513e-05,2.00489334231452e-07
1,6,1.2408836160667024e-05,9.685543774481336e-08
1,6,1.2542381124631273e-05,-8.740069877441228e-09
1,6,1.2671908096508532e-05,-1.1626065786118256e-07
1,6,1.2797183837071811e-05,-2.2566857077286773e-07
1,6,1.2918112888427756e-05,-3.36924839418196e-07
1,6,1.3034273206240452e-05,-4.4998929242158645e-07
1,6,1.3145598627311325e-05,-5.648205684854203e-07
1,6,1.3252123866219788e-05,-6.813761293276956e-07
1,6,1.3353519653572676e-05,-7.996122732964422e-07
1,6,1.3449865995890608e-05,-9.194841496589501e-07
1,6,1.3541102531411956e-05,-1.0409457735635577e-06
1,6,1.3627082656047697e-05,-1.16395004167145e-06
1,6,1.3707991824230636e-05,-1.2884487484556042e-06
1,6,1.3783652330550911e-05,-1.4143926031637235e-06
1,6,1.3853909643596283e-05,-1.5417312474416753e-06
1,6,1.3918769743205397e-05,-1.670413273613656e-06
1,6,1.397791476906883e-05,-1.8003862436149757e-06
1,6,1.403111861241956e-05,-1.931596708573043e-06
1,6,1.407869953118862e-05,-2.0639902290318155e-06
1,6,1.4120848162046678e-05,-2.19751139581465e-06
1,6,1.4157190365164936e-05,-2.3321038515201674e-06
1,6,1.4187410812305848e-05,-2.467710312645412e-06
1,6,1.4211391239748311e-05,-2.604272592330258e-06
1,6,1.4228904925927466e-05,-2.741731623716679e-06
1,6,1.4240040979922353e-05,-2.8800274839161515e-06
1,6,1.4244746333312498e-05,-3.0190994185781354e-06
1,6,1.424290008953686e-05,-3.158885867052207e-06
1,6,1.423429753820282e-05,-3.2993244881361027e-06
1,6,1.421874256401519e-05,-3.4403521864015395e-06
1,6,1.41958787240083e-05,-3.581905139089366e-06
1,6,1.4165550611046838e-05,-3.7239188235652008e-06
1,6,1.4127912709289166e-05,-3.866328045326385e-06
1,6,1.4082828619400796e-05,-4.009066966550691e-06
1,6,1.402996160789649e-05,-4.152069135176867e-06
1,6,1.3969427356179608e-05,-4.2952675145067416e-06
1,6,1.3901435532353097e-05,-4.438594513318212e-06
1,6,1.382559946555328e-05,-4.581982016478098e-06
1,6,1.3741850179786773e-05,-4.7253614160434455e-06
1,6,1.3650484629146358e-05,-4.8686636428394915e-06
1,6,1.355141186418906e-05,-5.011819198502125e-06
1,6,1.344451098043498e-05,-5.154758187972303e-06
1,6,1.333021571904728e-05,-5.2974103524294946e-06
1,6,1.32083024931235e-05,-5.439705102650834e-06
1,6,1.3078457016112712e-05,-5.581571552782318e-06
1,6,1.2940840218155791e-05,-5.7229385545079646e-06
1,6,1.2795474403305588e-05,-5.863734731602487e-06
1,6,1.2642161335799504e-05,-6.00388851485267e-06
1,6,1.2480422072344208e-05,-6.1433281773322505e-06
1,6,1.2310428502863682e-05,-6.281981870014718e-06
1,6,1.2132533738694396e-05,-6.419777657708117e-06
1,6,1.1946755428797344e-05,-6.556643555295536e-06
1,6,1.1752743716078976e-05,-6.692507564264624e-06
