sim,ref_pos,ref_neg
8.823716627328707e-07,1.638464092555956e-05,-1.6357610289585502e-05
9.588792950551842e-07,1.6919910964762397e-05,-1.689076418501704e-05
1.0342310115537441e-06,1.7446135159213315e-05,-1.7415267693113883e-05
1.1083635063101322e-06,1.7963297146052644e-05,-1.7931141266972612e-05
1.1812137809876146e-06,1.847095918345297e-05,-1.843805450412705e-05
1.2527191881250121e-06,1.896766463948244e-05,-1.893430121336544e-05
1.3228174745390136e-06,1.945185713021649e-05,-1.9417895843787705e-05
1.3914468248069191e-06,1.992303674318632e-05,-1.9888492370738948e-05
1.4585459048014918e-06,2.0381569596420964e-05,-2.034674506718343e-05
1.5240539052493018e-06,2.082703271407289e-05,-2.0792105859819903e-05
1.5879105852836796e-06,2.1257570237648974e-05,-2.1222123137072968e-05
1.6500563159631302e-06,2.1670959786666875e-05,-2.1634248095922465e-05
1.7104321237258472e-06,2.2066184310382062e-05,-2.202789661599444e-05
1.7689797337507416e-06,2.2444098787109803e-05,-2.2404227332719118e-05
1.8256416131952212e-06,2.2805119341080484e-05,-2.276288614511959e-05
1.8803610142797935e-06,2.3147293300025916e-05,-2.3102770864681603e-05
1.9330820171894203e-06,2.3468789576031283e-05,-2.3422862637188068e-05
1.983749572761441e-06,2.376999583839064e-05,-2.3722657672404903e-05
2.032309544929787e-06,2.4051922277598903e-05,-2.400313916055708e-05
2.078708752895143e-06,2.4315112908129447e-05,-2.4264409537860188e-05
2.122895012990669e-06,2.4557512118291146e-05,-2.450449209854714e-05
2.164817180212884e-06,2.4775761728186328e-05,-2.4721258013626827e-05
2.204425189387309e-06,2.4969577326253885e-05,-2.4913521899185703e-05
2.241670095938521e-06,2.5140115505195384e-05,-2.508119164443661e-05
2.2765041162343095e-06,2.5287129784796124e-05,-2.522473304099497e-05
2.3088806674737255e-06,2.540964308036892e-05,-2.5343823246297942e-05
2.3387544070889277e-06,2.550841807762195e-05,-2.5438613086467647e-05
2.366081271630856e-06,2.5585604817928308e-05,-2.5510619614428767e-05
2.390818515108938e-06,2.5640649549871716e-05,-2.5559922787320945e-05
2.4129247467552192e-06,2.567147515849459e-05,-2.5585131416624575e-05
2.432359968183525e-06,2.567683561352949e-05,-2.5585020787835374e-05
2.4490856099145027e-06,2.5656135962878495e-05,-2.5558597056503943e-05
2.463064567237647e-06,2.56098806117932e-05,-2.550632749579806e-05
2.4742612353817343e-06,2.5538219663089325e-05,-2.542877259420509e-05
2.4826415439653577e-06,2.544084246306164e-05,-2.5325309291865667e-05
2.488172990699638e-06,2.531700961118768e-05,-2.519455078495437e-05
2.490824674315523e-06,2.516515187850513e-05,-2.5035350185385877e-05
2.4905673266884787e-06,2.498507700369937e-05,-2.4848197749571157e-05
2.487373344133777e-06,2.477818144288472e-05,-2.4634135100859077e-05
2.4812168178460313e-06,2.454420880169657e-05,-2.439228764259357e-05
2.4720735634570534e-06,2.4281676544800576e-05,-2.412061499991009e-05
2.459921149686602e-06,2.399008246807021e-05,-2.381845907261596e-05
2.4447389260610563e-06,2.36687650223926e-05,-2.348650763437232e-05
2.4265080496755895e-06,2.331706289200569e-05,-2.31256030354129e-05
2.4052115109759034e-06,2.2935606046538925e-05,-2.273568677944981e-05
2.3808341585361644e-06,2.252448480649445e-05,-2.2316027025957496e-05
2.3533627228103194e-06,2.208261238058053e-05,-2.186641221155401e-05
2.3227858388345567e-06,2.1609140930707184e-05,-2.1386268720781177e-05
